,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
58,58, The Bourne Ultimatum ,9,2007,Paul Greengrass,Tim Appelo,The Wrap,US
59,59, Traffic ,10,2000,Steven Soderbergh,Tim Appelo,The Wrap,US
60,60, These Encounters of Theirs ,1,2006,Danièle Huillet and Jean-Marie Straub,Adriano Aprà,Film historian,Italy
61,61, Vincere ,2,2009,Marco Bellocchio,Adriano Aprà,Film historian,Italy
62,62, Le quattro volte ,3,2010,Michelangelo Frammartino,Adriano Aprà,Film historian,Italy
63,63, The Profession of Arms ,4,2001,Ermanno Olmi,Adriano Aprà,Film historian,Italy
64,64, Gostanza da Libbiano ,5,2000,Paolo Benvenuti,Adriano Aprà,Film historian,Italy
65,65, Storia di una donna amata e di un assassino gentile ,6,2009,Luigi M. Faccini,Adriano Aprà,Film historian,Italy
66,66, At the First Breath of Wind ,7,2003,Franco Piavoli,Adriano Aprà,Film historian,Italy
67,67, Sangue ,8,2013,Pippo Delbono,Adriano Aprà,Film historian,Italy
68,68, Terra ,9,2015,Marco De Angelis and Antonio Di Trapani,Adriano Aprà,Film historian,Italy
69,69, Oh! Man ,10,2004,Yervant Gianikian and Angela Ricci Lucchi,Adriano Aprà,Film historian,Italy
70,70," Synecdoche, New York ",1,2008,Charlie Kaufman,Michael Arbeiter,Nerdist,US
71,71, Mulholland Drive ,2,2001,David Lynch,Michael Arbeiter,Nerdist,US
72,72, Eternal Sunshine of the Spotless Mind ,3,2004,Michel Gondry,Michael Arbeiter,Nerdist,US
73,73, Black Swan ,4,2010,Darren Aronofsky,Michael Arbeiter,Nerdist,US
74,74, The Comedy ,5,2012,Rick Alverson,Michael Arbeiter,Nerdist,US
75,75, Melancholia ,6,2011,Lars von Trier,Michael Arbeiter,Nerdist,US
76,76, Inglourious Basterds ,7,2009,Quentin Tarantino,Michael Arbeiter,Nerdist,US
77,77, Inside Llewyn Davis ,8,2013,Joel and Ethan Coen,Michael Arbeiter,Nerdist,US
78,78, Only Lovers Left Alive ,9,2013,Jim Jarmusch,Michael Arbeiter,Nerdist,US
79,79, The Congress ,10,2013,Ari Folman,Michael Arbeiter,Nerdist,US
80,80, The Master ,1,2012,Paul Thomas Anderson,Ali Arikan,Dipnot TV,Turkey
81,81, 25th Hour ,2,2002,Spike Lee,Ali Arikan,Dipnot TV,Turkey
82,82, 24 Hour Party People ,3,2002,Michael Winterbottom,Ali Arikan,Dipnot TV,Turkey
83,83, Mulholland Drive ,4,2001,David Lynch,Ali Arikan,Dipnot TV,Turkey
84,84, Once Upon a Time in Anatolia ,5,2011,Nuri Bilge Ceylan,Ali Arikan,Dipnot TV,Turkey
85,85, Zodiac ,6,2007,David Fincher,Ali Arikan,Dipnot TV,Turkey
86,86, A Serious Man ,7,2009,Joel and Ethan Coen,Ali Arikan,Dipnot TV,Turkey
87,87, Tinker Tailor Soldier Spy ,8,2011,Tomas Alfredson,Ali Arikan,Dipnot TV,Turkey
88,88, Primer ,9,2004,Shane Carruth,Ali Arikan,Dipnot TV,Turkey
89,89, In the Mood for Love ,10,2000,Wong Kar-wai,Ali Arikan,Dipnot TV,Turkey
90,90," La commune (Paris, 1871) ",1,"1871', '2000","Paris, 1871) (Peter Watkins",Michael Atkinson,The Village Voice,US
91,91, Uncle Boonmee Who Can Recall His Past Lives ,2,2010,Apichatpong Weerasethakul,Michael Atkinson,The Village Voice,US
92,92, 2046 ,3,2004,Wong Kar-wai,Michael Atkinson,The Village Voice,US
93,93, Adaptation ,4,2002,Spike Jonze,Michael Atkinson,The Village Voice,US
94,94, Battle in Heaven ,5,2005,Carlos Reygadas,Michael Atkinson,The Village Voice,US
95,95, Caché ,6,2005,Michael Haneke,Michael Atkinson,The Village Voice,US
96,96, Inland Empire ,7,2006,David Lynch,Michael Atkinson,The Village Voice,US
97,97, Mulholland Drive ,8,2001,David Lynch,Michael Atkinson,The Village Voice,US
98,98, Mysteries of Lisbon ,9,2010,Raoul Ruiz,Michael Atkinson,The Village Voice,US
