,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
766, The Tree of Life ,7,2011,Terrence Malick,Zhanna Issabayeva,Freelance film critic,Kazakhstan
767, A Pigeon Sat on a Branch Reflecting on Existence ,8,2014,Roy Andersson,Zhanna Issabayeva,Freelance film critic,Kazakhstan
768, Boyhood ,9,2014,Richard Linklater,Zhanna Issabayeva,Freelance film critic,Kazakhstan
769, Coming Home ,10,2014,Zhang Yimou,Zhanna Issabayeva,Freelance film critic,Kazakhstan
940, Yi Yi: A One and a Two ,1,2000,Edward Yang,Maggie Lee,Variety,Hong Kong
941, Café Lumière ,2,2003,Hou Hsiao-hsien,Maggie Lee,Variety,Hong Kong
942," 4 Months, 3 Weeks & 2 Days ",3,2007,Cristian Mungiu,Maggie Lee,Variety,Hong Kong
943, The White Ribbon ,4,2009,Michael Haneke,Maggie Lee,Variety,Hong Kong
944, In the Mood for Love ,5,2000,Wong Kar-wai,Maggie Lee,Variety,Hong Kong
945, Millennium Actress ,6,2001,Satoshi Kon,Maggie Lee,Variety,Hong Kong
946, Spirited Away ,7,2001,Hayao Miyazaki,Maggie Lee,Variety,Hong Kong
947, A Separation ,8,2011,Asghar Farhadi,Maggie Lee,Variety,Hong Kong
948, 35 Shots of Rum ,9,2008,Claire Denis,Maggie Lee,Variety,Hong Kong
949, Toni Erdmann ,10,2016,Maren Ade,Maggie Lee,Variety,Hong Kong
1000, Once Upon a Time in Anatolia ,1,2011,Nuri Bilge Ceylan,Laya Maheshwari,Freelance film critic,India
1001, The Assassination of Jesse James by the Coward Robert Ford ,2,2007,Andrew Dominik,Laya Maheshwari,Freelance film critic,India
1002, The Social Network ,3,2010,David Fincher,Laya Maheshwari,Freelance film critic,India
1003, The Grand Budapest Hotel ,4,2014,Wes Anderson,Laya Maheshwari,Freelance film critic,India
1004, The Lord of the Rings: The Fellowship of the Ring ,5,2001,Peter Jackson,Laya Maheshwari,Freelance film critic,India
1005, The Tree of Life ,6,2011,Terrence Malick,Laya Maheshwari,Freelance film critic,India
1006, Holy Motors ,7,2012,Leos Carax,Laya Maheshwari,Freelance film critic,India
1007, Timbuktu ,8,2014,Abderrahmane Sissako,Laya Maheshwari,Freelance film critic,India
1008, No ,9,2012,Pablo Larraín,Laya Maheshwari,Freelance film critic,India
1009, Pan's Labyrinth ,10,2006,Guillermo Del Toro,Laya Maheshwari,Freelance film critic,India
1170, Memento ,1,2000,Christopher Nolan,Ong Soh Chin,Freelance,Singapore
1171, Oldboy ,2,2003,Park Chan-wook,Ong Soh Chin,Freelance,Singapore
1172, The Circle ,3,2000,Jafar Panahi,Ong Soh Chin,Freelance,Singapore
1173, The Lives of Others ,4,2006,Florian Henckel von Donnersmarck,Ong Soh Chin,Freelance,Singapore
1174, Dirty Pretty Things ,5,2002,Stephen Frears,Ong Soh Chin,Freelance,Singapore
1175, We Need to Talk About Kevin ,6,2011,Lynne Ramsay,Ong Soh Chin,Freelance,Singapore
1176, The Imposter ,7,2012,Bart Layton,Ong Soh Chin,Freelance,Singapore
1177, A Girl Walks Home Alone at Night ,8,2014,Ana Lily Amirpour,Ong Soh Chin,Freelance,Singapore
1178, Mother ,9,2009,Bong Joon-ho,Ong Soh Chin,Freelance,Singapore
1179, Bone Tomahawk ,10,2015,S. Craig Zahler,Ong Soh Chin,Freelance,Singapore
1450, In the Mood for Love ,1,2000,Wong Kar-wai,Alaka Sahani,The Indian Express,India
1451, The Lives of Others ,2,2006,Florian Henckel von Donnersmarck,Alaka Sahani,The Indian Express,India
1452, Eternal Sunshine of the Spotless Mind ,3,2004,Michel Gondry,Alaka Sahani,The Indian Express,India
1453, Kill Bill: Vol. 1 ,4,2003,Quentin Tarantino,Alaka Sahani,The Indian Express,India
1454, Inception ,5,2010,Christopher Nolan,Alaka Sahani,The Indian Express,India
1455, Talk to Her ,6,2002,Pedro Almodóvar,Alaka Sahani,The Indian Express,India
